ClienteID,NombreCliente,EdadEstimada,Monto,EtapaCredito,DiasAtraso
1493,Abigail Bean,26-35,12417,31_60D,67
1505,Brian Navarro,56+,19001,61_90D,76
1507,Nicole Johnson,36-45,10346,31_60D,97
1509,Jesse Gibbs,18-25,9980,0SANA,88
1511,Scott Evans,18-25,10746,0SANA,77
1516,Anthony Mahoney,46-55,7822,31_60D,81
1523,Kimberly Franklin,18-25,9064,0SANA,84
1525,Darin Myers,46-55,12298,31_60D,67
1527,Christopher Zimmerman,18-25,14785,61_90D,49
1528,Kenneth Salas,18-25,5169,61_90D,73
1529,Andrew Russell DVM,18-25,15122,0SANA,72
1532,Tammy Ortiz,18-25,10594,0SANA,93
1533,Rebecca Garcia,18-25,3912,1_30D,79
1539,Dr. Scott Brown,26-35,18042,61_90D,71
1541,Cheryl Douglas,36-45,10985,61_90D,92
1551,Gregory Ochoa,18-25,8246,1_30D,73
1563,David Thomas,46-55,9351,61_90D,91
1567,Stephanie Rosales,46-55,12247,31_60D,91
1575,James Owens,18-25,19078,31_60D,31
1582,Jacob Young,18-25,11464,1_30D,91
1584,Michelle Grant,18-25,11858,31_60D,55
1586,Amy Clarke,18-25,3735,1_30D,70
1590,Benjamin Bauer,46-55,17066,31_60D,69
1595,Michael Hensley,18-25,19213,31_60D,93
1596,Deborah Patrick,56+,6245,31_60D,71
1605,Cindy Reid,18-25,12497,0SANA,87
1612,Andrea Burns,56+,3496,31_60D,86
1613,Robert Guzman,36-45,10498,31_60D,65
1615,Matthew Montgomery,18-25,16922,0SANA,61
1626,Stephanie Drake,26-35,16550,31_60D,66
1634,Jesse Page,26-35,8024,61_90D,64
1635,Kevin Howard,46-55,18365,31_60D,82
1642,April Gomez,18-25,15414,1_30D,78
1644,Mark Higgins,46-55,18578,61_90D,65
1647,Vincent Mendez,18-25,4966,61_90D,8
1657,Mr. James Clark,26-35,15908,31_60D,87
1665,Catherine Kelley,18-25,8311,61_90D,49
1669,Melissa Watkins,56+,6076,61_90D,78
1677,Sarah Rogers,18-25,18807,31_60D,38
1678,Thomas Ruiz,18-25,10882,31_60D,-1
1681,Melanie Johnson,18-25,13927,0SANA,63
1682,Scott Dominguez,56+,958,31_60D,90
1683,Ashley Ramos,18-25,1723,0SANA,63
1685,Danielle Palmer,46-55,4825,31_60D,69
1690,Matthew Schmidt,36-45,10388,31_60D,93
1694,Emily Key,36-45,13892,31_60D,70
1699,Douglas Krause,18-25,4551,0SANA,67
1701,Patricia Shaffer,18-25,6373,0SANA,96
1705,Joan Schaefer,18-25,549,0SANA,81
1707,Nicole Newman,18-25,11155,31_60D,28
1708,Marisa Johns,18-25,5704,31_60D,96
1712,Victoria Smith,18-25,16315,31_60D,29
1713,Jacob Guerra,18-25,16480,61_90D,21
1721,Lisa Silva,18-25,17340,1_30D,98
1724,Morgan Humphrey,18-25,4783,61_90D,53
1731,Natasha Lewis,18-25,12772,61_90D,2
1752,Bridget Sullivan,26-35,1553,61_90D,85
1754,Mary Cochran,18-25,12511,0SANA,76
1755,Laura Smith,18-25,19470,0SANA,72
1766,Andre Carter,18-25,13288,0SANA,94
1767,Brian Ford,18-25,12668,0SANA,77
1769,Sandy Nelson,46-55,6717,31_60D,68
1771,Alexis Zuniga,18-25,10895,1_30D,82
1774,Angela Meyer,26-35,10314,61_90D,80
1777,Richard Adams,18-25,11668,31_60D,80
1778,Brittney Russo,56+,14896,31_60D,86
1780,Luis Conrad,18-25,3934,0SANA,91
1787,Alexandra Obrien,18-25,2969,61_90D,70
1790,Edwin Fields,46-55,5029,31_60D,80
1795,Douglas Tran,36-45,13825,31_60D,99
1798,Cory Flores,18-25,14616,1_30D,81
1799,Lisa Baker,18-25,541,31_60D,4
1805,David Reese,18-25,19396,31_60D,66
1811,Kelsey Ramirez,18-25,5351,1_30D,64
1812,Carlos Simpson,18-25,15319,61_90D,-1
1815,Alyssa Rivers,26-35,16808,61_90D,83
1826,Ana Allen,46-55,6025,31_60D,88
1828,Donna Cohen,46-55,18890,31_60D,80
1837,Erik Garza,36-45,3837,31_60D,62
1838,Robert Hernandez,46-55,12435,31_60D,83
1840,Timothy Spencer,18-25,18229,31_60D,-5
1845,Kristine Davis,18-25,19328,61_90D,15
1860,Michael Young,18-25,4211,0SANA,80
1877,Kurt Manning,26-35,8138,31_60D,69
1882,Matthew Moreno,18-25,19610,0SANA,71
1883,Grace Nunez,18-25,4204,31_60D,17
1890,Antonio Anderson,46-55,18541,31_60D,66
1891,Anna Black,56+,6642,61_90D,91
1899,Kristen Swanson,18-25,3415,0SANA,82
1901,Kelly Ramirez,18-25,15188,61_90D,57
1903,Lindsey Kim,36-45,2200,31_60D,64
1911,Molly Allen,18-25,1515,0SANA,79
1914,Shawn Yu,18-25,8745,0SANA,95
1916,Curtis Williams,18-25,7830,61_90D,65
1920,Theresa Ferrell,18-25,4828,1_30D,64
1925,Benjamin Klein,18-25,7622,31_60D,85
1927,Elizabeth Bradley,18-25,18978,0SANA,85
1931,Heather Owens,36-45,5279,31_60D,90
1936,Dr. Victor Kennedy,18-25,16910,1_30D,93
1941,Michael Henderson,26-35,13831,61_90D,73
1952,Anthony Peterson MD,36-45,15982,31_60D,85
1957,Patricia Martin,18-25,4060,31_60D,15
1961,William Rogers,18-25,18190,31_60D,62
1962,Lisa Lewis,46-55,5888,31_60D,78
1965,Kelli Mcclain,56+,18805,31_60D,83
1966,Joseph Norton,18-25,18382,0SANA,69
1967,Kimberly Barron,18-25,11489,31_60D,45
1972,Mrs. Monique Walker,56+,7149,31_60D,72
1977,Kathy Webb,36-45,17559,31_60D,71
1984,Jaime Jensen,18-25,11041,1_30D,87
1989,Lori Pierce,56+,18102,61_90D,82
1992,Tammy Harper,18-25,15742,31_60D,22
1995,Donald Scott,36-45,11357,61_90D,85
1996,Angela Whitaker,46-55,18548,31_60D,62
1999,Andrew Adkins,46-55,14691,31_60D,86
2005,Colleen Espinoza,26-35,9791,61_90D,95
2016,Brandon Jones,18-25,2163,61_90D,74
2017,Kimberly Mann,18-25,18573,0SANA,68
2022,Joseph Garcia PhD,18-25,8401,31_60D,22
2033,Leah Henderson,56+,16502,31_60D,69
2045,Sandra Palmer,26-35,17041,31_60D,73
2046,Amanda Hartman,46-55,7702,31_60D,73
2058,Margaret Wilson,18-25,6122,61_90D,19
2059,Todd Moore,18-25,4521,0SANA,81
2066,Steven Collins,18-25,9912,1_30D,63
2076,Jonathan Clay,18-25,10083,1_30D,84
2079,Darrell Murphy,46-55,4936,31_60D,87
2081,Amber Weber,26-35,9744,31_60D,96
2085,Jeffery Martin,18-25,12197,61_90D,12
2087,Tina Rodriguez,18-25,2188,31_60D,35
2096,Herbert Lee,18-25,1279,61_90D,72
2099,Juan Clark,18-25,15881,1_30D,96
2105,Pamela Blair,18-25,8131,0SANA,73
2123,Jean Sparks,18-25,4195,31_60D,0
2124,Shelby Conley,18-25,1828,0SANA,83
2126,Susan Campbell,18-25,17006,61_90D,88
2134,Rodney Henderson,56+,13858,31_60D,86
2137,Nicholas Washington,36-45,10988,31_60D,69
2143,Shelly Peterson,18-25,5056,0SANA,62
2145,Nicholas Sanchez,18-25,16485,31_60D,46
2146,Daniel Edwards,18-25,15073,1_30D,83
2150,Andrew Novak,46-55,13952,31_60D,96
2153,Tina Alexander,18-25,4154,31_60D,0
2156,Allison Rangel,18-25,8919,0SANA,83
2158,Kevin Lee,26-35,13875,61_90D,88
2162,Jennifer Jones,36-45,11214,31_60D,97
2166,Christopher Jones,36-45,6913,31_60D,67
2167,Andrea Gonzalez,18-25,12409,0SANA,85
2174,Laura Daniels,56+,18663,31_60D,93
2180,Patricia Miller,36-45,15057,31_60D,84
2194,Kyle Merritt,18-25,10730,61_90D,73
2195,Nathan Bright,56+,5183,31_60D,75
2196,Melinda Weiss,18-25,4652,31_60D,83
2197,Sherri White,56+,2268,31_60D,84
2198,Maria Harris,56+,12254,31_60D,98
2209,Barbara Mclaughlin,46-55,19990,31_60D,88
2211,Robert Brown,18-25,12429,1_30D,87
2212,Evelyn Villarreal,56+,9022,61_90D,83
2220,John Campbell,46-55,18061,31_60D,79
2221,Matthew Price,18-25,9635,0SANA,87
2222,Nancy Haas,46-55,7838,61_90D,66
2223,Rebecca Obrien,18-25,12138,31_60D,90
2228,Mary Andrade,56+,13516,31_60D,87
2236,April Gutierrez,18-25,18352,31_60D,15
2237,Nathan Cummings,18-25,17635,31_60D,89
2245,Kimberly Trevino,18-25,1231,31_60D,41
2247,Isaiah Fowler,18-25,11936,0SANA,86
2248,James Oliver,36-45,12633,61_90D,65
2253,Brenda Day,18-25,14609,61_90D,71
2257,Joseph Anderson,26-35,1251,61_90D,85
2260,Ryan Cook,18-25,3055,1_30D,69
2263,Jack Davis,18-25,4316,61_90D,30
2272,Bryan Sawyer,56+,7995,61_90D,69
2275,Sylvia Blevins,26-35,12862,31_60D,65
2285,Rebecca Hanson,56+,10221,61_90D,82
2287,Emily Sampson,18-25,17001,0SANA,85
2291,Amber Morales,56+,9927,31_60D,75
2300,Maria Sweeney,18-25,11397,61_90D,51
2302,Alan Payne,18-25,14576,31_60D,96
2303,Samuel Lamb,18-25,12856,1_30D,63
2307,Samantha Howe,56+,19480,31_60D,76
2313,James Williams,46-55,16790,31_60D,88
2316,Kayla Dean,46-55,4321,31_60D,68
2317,Tammy Murphy,18-25,5555,61_90D,99
2323,Ashley Taylor,36-45,12633,61_90D,65
2327,Christopher Gray,56+,10420,31_60D,82
2328,Sara Flores,26-35,19527,61_90D,92
2331,Maria Kaufman,18-25,19391,31_60D,84
2338,Donna Smith,36-45,17157,31_60D,94
2344,Katie Castillo,18-25,4759,0SANA,69
2347,Kayla Peterson,18-25,8762,0SANA,67
2356,Tabitha Hunter,56+,9258,31_60D,67
2357,Gregory Martinez,18-25,13709,61_90D,89
2358,Brandon Dunn,18-25,14035,0SANA,96
2369,Anthony Harrison,36-45,4741,61_90D,73
2371,Jesus Lopez,36-45,18509,31_60D,79
2375,April Brown,18-25,6010,31_60D,50
2376,Billy Rodriguez,56+,13018,61_90D,81
2379,Mrs. Jackie Reeves,26-35,16974,31_60D,64
2384,Stacey Woods,18-25,13024,31_60D,58
2387,Kyle Perkins,26-35,7798,61_90D,72
2390,Sarah Navarro,18-25,11683,0SANA,78
2394,William Duran,56+,1073,31_60D,84
2403,David Kim,56+,19973,31_60D,65
2407,Carl Castillo,18-25,18100,0SANA,95
2408,Evelyn Reynolds,36-45,15742,31_60D,74
2411,Robert Espinoza,46-55,13976,31_60D,61
2414,Victoria Bowen,18-25,6822,1_30D,98
2415,Cory Lutz,18-25,12343,31_60D,71
2416,Lauren Mcclain,18-25,19336,61_90D,52
2418,Megan Edwards,46-55,17788,31_60D,92
2431,Nicholas Wilkins,18-25,15154,61_90D,52
2432,Tammy Mason,46-55,11088,31_60D,82
2435,Sara Williams,18-25,14484,1_30D,83
2437,Cindy Collins,26-35,10437,31_60D,87
2441,Brent Owens,36-45,1424,31_60D,96
2444,Janice Aguirre,18-25,19072,31_60D,90
2447,Brent Hampton,36-45,3251,61_90D,88
2451,Justin Long,18-25,16583,0SANA,87
2452,Shelby Adams,18-25,1295,0SANA,81
2457,Jennifer Silva,36-45,18795,31_60D,63
2459,Adrienne Krueger,46-55,17621,31_60D,68
2467,Mark Li,18-25,9675,0SANA,95
2473,Richard Fleming,18-25,4095,31_60D,53
2475,Chad Hoffman,18-25,5688,1_30D,93
2481,Sally Nelson,18-25,19112,31_60D,43
2485,Brandon Roberts,18-25,14498,31_60D,45
2497,Troy Rosario,36-45,7047,61_90D,62
2505,Ashley Fitzgerald,18-25,9116,31_60D,3
2511,Connie Oliver,26-35,16975,31_60D,72
2514,Dylan Castillo MD,36-45,18637,31_60D,66
2520,Katrina Paul,26-35,7180,31_60D,68
2522,John Livingston,46-55,16267,61_90D,78
2540,Michael Hardy,18-25,7983,0SANA,73
2551,Danielle Barrera,18-25,7601,31_60D,-2
2553,Laura Beck,18-25,14293,61_90D,75
2556,Brittany Smith,36-45,4642,61_90D,99
2569,Susan Landry,36-45,5031,61_90D,80
2571,Sherry Taylor,18-25,17363,61_90D,37
2575,Wesley Morales,26-35,16721,31_60D,82
2580,Eduardo Dickerson,56+,14325,31_60D,98
2582,Mr. Erik Smith,46-55,5118,31_60D,61
2585,Miss Maria Nelson MD,46-55,4274,61_90D,85
2589,Travis Cohen,18-25,18822,1_30D,93
2596,Brenda Wilson,36-45,17843,61_90D,95
2597,Robert Thompson,18-25,2430,0SANA,99
2604,Oscar Martin,56+,4550,61_90D,79
2608,Emily Hoffman,18-25,17900,0SANA,80
2611,Alexa Warren,46-55,19204,31_60D,92
2617,David Buckley,26-35,7799,31_60D,62
2618,Shawn Paul,18-25,14710,0SANA,65
2641,Yvonne Lopez,36-45,17935,61_90D,69
2657,Lauren Holden,18-25,808,31_60D,34
2659,Keith Vasquez,18-25,15975,31_60D,-3
